"Title","Subtitle","CELEX number","EUROVOC descriptor","Subject matter","Directory code","Date of document",
"79/25/ECSC: Commission Decision of 7 December 1978 approving aids from the Federal Republic of Germany to the coal-mining industry during 1978 (Only the German text is authentic)","","31979D0025","State aid, minimum stock, bonus payment, coal industry, Germany, investment aid, innovation","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1978-12-07",
"79/24/ECSC: Commission Decision of 7 December 1978 approving aids from the Kingdom of Belgium to the coal-mining industry during 1978 (Only the French and Dutch texts are authentic)","","31979D0024","investment aid, coal industry, State aid, Belgium","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1978-12-07",
"79/22/ECSC: Commission Decision of 7 December 1978 approving aids from the French Republic to the coal-mining industry during 1978 (Only the French text is authentic)","","31979D0022","France, State aid, financial loss, coal industry","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1978-12-07",
"Council Resolution of 20 November 1978 concerning the mutual exchange of information at Community level on the siting of power stations","","31978Y1130(01)","exchange of information, power plant, location of industry","Information and verification, Energy","Energy, Electricity","1978-11-20",
"78/298/ECSC: Commission Decision of 1 March 1978 approving aids from the United Kingdom to the coal-mining industry during the year 1977/78","","31978D0298","employment aid, State aid, coal industry, aid to industry, job preservation, United Kingdom","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1978-03-01",
"78/296/ECSC: Commission Decision of 1 March 1978 approving aids from the Federal Republic of Germany to the coal-mining industry during the year 1977","","31978D0296","coal industry, Germany, job preservation, employment aid, aid for restructuring, State aid","State aids, Competition, Hard coal","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1978-03-01",
"78/297/ECSC: Commission Decision of 1 March 1978 approving aids from the Kingdom of Belgium to the coal-mining industry during the year 1977","","31978D0297","Belgium, State aid, aid for restructuring, coal industry, aid to industry","State aids, Competition, Hard coal","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1978-03-01",
"78/295/ECSC: Commission Decision of 1 March 1978 approving aids from the French Republic to the coal-mining industry during the year 1977","","31978D0295","coal industry, production aid, job preservation, France, employment aid, State aid","State aids, Competition, Hard coal","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1978-03-01",
"Amendment to the Agreement of 6 October 1959, in the form of an exchange of letters, between the European Atomic Energy Community (Euratom) and the Government of Canada for cooperation in the peaceful uses of atomic energy","","21978A0116(01)","revision of an agreement, nuclear energy, nuclear policy, peaceful use of energy, cooperation agreement (EU), Canada, energy cooperation","External relations, Nuclear common market","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, North America, Other measures relating to nuclear energy","1978-01-16",
"77/714/EEC: Council Recommendation of 25 October 1977 on the creation in the Member States of advisory bodies or committees to promote combined heat and power production and the exploitation of residual heat","","31977H0714","energy supply, advisory committee (EU), comitology, heating","Energy","Energy, Other sources of energy","1977-10-25",
"77/713/EEC: Council recommendation of 25 October 1977 on the rational use of energy in industrial undertakings","","31977H0713","public awareness campaign, energy use, energy saving, industrial enterprise","Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy","1977-10-25",
"77/622/ECSC: Commission Decision of 23 September 1977 approving aids from the United Kingdom to the coal-mining industry during the year 1976/77","","31977D0622","stock, United Kingdom, coal industry, management techniques, State aid","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1977-09-23",
"77/623/ECSC: Commission Decision of 23 September 1977 approving aids from the Federal Republic of Germany to the coal-mining industry during the year 1976","","31977D0623","investment aid, innovation, coal industry, Germany, State aid, minimum stock","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1977-09-23",
"77/624/ECSC: Commission Decision of 23 September 1977 approving aids from the Kingdom of Belgium to the coal- mining industry during the year 1976","","31977D0624","State aid, Belgium, investment aid, stock, coal industry","Competition, Hard coal, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","1977-09-23",
"77/621/ECSC: Commission Decision of 23 September 1977 approving aids from the French Republic to the coal-mining industry during the year 1976","","31977D0621","State aid, France, coal industry, financial loss","State aids, Hard coal, Competition","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","1977-09-23",
"Council Resolution of 18 July 1977 on advisory committees on research programme management","","31977Y0811(01)","comitology, advisory committee (EU), research programme, management","Provisions governing the Institutions, Research and training","General, financial and institutional matters, Science, information, education and culture, Energy, Provisions governing the institutions, Science, General principles and programmes, General, Research sectors, General","1977-07-18",
"77/270/Euratom: Council Decision of 29 March 1977 empowering the Commission to issue Euratom loans for the purpose of contributing to the financing of nuclear power stations","","31977D0270","nuclear energy, EU borrowing, power plant, Community loan, nuclear power station","Financial provisions, Principles, objectives and tasks of the Treaties, Nuclear common market","Energy, Economic and monetary policy and free movement of capital, Nuclear energy, Economic policy, Power stations and joint undertakings, Instruments of economic policy","1977-03-29",
